799467174	20181102083000	20181102144500	1	interfax.com	http://www.interfax.com/news.asp?y=2018&m=11&d=2&pg=6	4	-1	669	661	1	10	2609	-3.05555555555555		
703117251	20171102001500	20181102144500	1	bjp-online.com	http://www.bjp-online.com/2018/11/highlights-from-film-photography-modern-challenges/	12	-1	5843	5823	0	20	6696	1.4423076923077		
703219042	20171102084500	20181102144500	1	northamptonchron.co.uk	https://www.northamptonchron.co.uk/whats-on/music/german-metallers-rammstein-to-play-only-uk-gig-at-stadium-mk-1-8691209	2	-1	329	447	1	100	581	1.8018018018018		
703219042	20171102084500	20181102144500	1	buckinghamtoday.co.uk	https://www.buckinghamtoday.co.uk/whats-on/music/german-metallers-rammstein-to-play-only-uk-gig-at-stadium-mk-1-8691209	2	-1	329	447	1	100	576	1.81818181818182		
703109924	20171102000000	20181102144500	1	ariananews.af	https://ariananews.af/ghani-seeks-second-term-as-president/	3	585	-1	668	1	100	980	-1.875		
799542782	20181102144500	20181102144500	1	xinhuanet.com	http://www.xinhuanet.com/english/2018-11/02/c_137577376.htm	7	2055	-1	2080	0	20	3535	3.84615384615385		
799542783	20181102144500	20181102144500	1	xinhuanet.com	http://www.xinhuanet.com/english/2018-11/02/c_137577376.htm	7	2055	-1	2107	0	20	3535	3.84615384615385		
703179926	20171102050000	20181102144500	1	lmtonline.com	https://www.lmtonline.com/news/article/Defense-contractor-Capco-lays-off-37-workers-13357571.php	3	828	873	886	1	100	991	-2		
703179926	20171102050000	20181102144500	1	sfgate.com	https://www.sfgate.com/news/article/Defense-contractor-Capco-lays-off-37-workers-13357571.php	3	828	873	886	1	100	991	-2		
799542784	20181102144500	20181102144500	1	lmtonline.com	https://www.lmtonline.com/news/article/Defense-contractor-Capco-lays-off-37-workers-13357571.php	3	947	873	914	1	100	991	-2		
799542784	20181102144500	20181102144500	1	sfgate.com	https://www.sfgate.com/news/article/Defense-contractor-Capco-lays-off-37-workers-13357571.php	3	947	873	914	1	100	991	-2		
799542785	20181102144500	20181102144500	1	xinhuanet.com	http://www.xinhuanet.com/english/2018-11/02/c_137577376.htm	7	2006	2108	2065	1	80	3535	3.84615384615385		
799542786	20181102144500	20181102144500	1	xinhuanet.com	http://www.xinhuanet.com/english/2018-11/02/c_137577376.htm	7	2006	2108	2093	1	80	3535	3.84615384615385		
799467174	20181102083000	20181102144500	1	interfax.com	http://www.interfax.com/news.asp?y=2018&m=11&d=2&pg=6	4	669	-1	661	1	10	2609	-3.05555555555555		
799467179	20181102083000	20181102144500	1	interfax.com	http://www.interfax.com/news.asp?y=2018&m=11&d=2&pg=6	4	685	670	677	0	20	2609	-3.05555555555555		
799467180	20181102083000	20181102144500	1	interfax.com	http://www.interfax.com/news.asp?y=2018&m=11&d=2&pg=6	4	668	658	661	0	10	2609	-3.05555555555555		
